model,strategy,fold,n_train,n_test,accuracy,precision_macro,recall_macro,f1_macro,auc_roc
XGBoost,LOSO,25,14632,472,0.538135593220339,0.5391506303915063,0.538135593220339,0.5351224360712027,0.5234666762424591
XGBoost,LOSO,26,14632,472,0.5635593220338984,0.5356668546582495,0.5466707929630776,0.5187678175483054,0.6117551836598663
XGBoost,LOSO,27,14632,472,0.5254237288135594,0.5261756876663709,0.5254237288135594,0.5219907407407407,0.522102125825912
XGBoost,LOSO,28,14632,472,0.6716101694915254,0.6738163821601871,0.6623744852994293,0.6616456158688021,0.7449794119771727
XGBoost,LOSO,29,14632,472,0.7478813559322034,0.6708929368503836,0.6994047619047619,0.6803096274794388,0.7863839285714286
XGBoost,LOSO,30,14632,472,0.6779661016949152,0.6656243445764296,0.6613181792857541,0.66283179186405,0.7443868739205527
XGBoost,LOSO,31,14632,472,0.6716101694915254,0.6718601096826395,0.6716101694915255,0.6714907298060646,0.7516877334099397
LightGBM,LOSO,0,14632,472,0.6673728813559322,0.6703115008678177,0.6673728813559322,0.6659318465623493,0.7140189600689458
LightGBM,LOSO,1,14632,472,0.663135593220339,0.6337064676616916,0.6685302593659943,0.6290903699310549,0.7075734870317003
LightGBM,LOSO,2,14632,472,0.663135593220339,0.6684339065839016,0.6496672453703703,0.6469708302169035,0.7090928819444444
LightGBM,LOSO,3,14632,472,0.6440677966101694,0.6051358542288156,0.6032625910674692,0.6040822032713546,0.6294345898004433
LightGBM,LOSO,4,14632,472,0.6016949152542372,0.654534541089163,0.6016949152542372,0.5644645135957593,0.5932742028152829
LightGBM,LOSO,5,14632,472,0.6800847457627118,0.6124168768631048,0.666907821942293,0.6092179643936113,0.7279201066757455
LightGBM,LOSO,6,14632,472,0.5677966101694916,0.531132742400348,0.5726062143310082,0.47088691064952193,0.6446417247939124
LightGBM,LOSO,7,14632,472,0.6334745762711864,0.6444308445532436,0.6334745762711864,0.6263892129813917,0.6909293306521114
LightGBM,LOSO,8,14632,472,0.7542372881355932,0.7087347463070006,0.6926659891598916,0.6991317727222772,0.7511644647696478
LightGBM,LOSO,9,14632,472,0.5699152542372882,0.592698835908301,0.5699152542372882,0.5417585308113537,0.5707052571100257
LightGBM,LOSO,10,14632,472,0.6504237288135594,0.6475764652275446,0.6407846120408607,0.6408660164626132,0.6826414547562124
LightGBM,LOSO,11,14632,472,0.7415254237288136,0.7407543999836089,0.7175414236786077,0.7223636503895703,0.7844117374803296
LightGBM,LOSO,12,14632,472,0.5466101694915254,0.546947337962963,0.5466101694915254,0.545794661486438,0.5804905199655271
LightGBM,LOSO,13,14632,472,0.5826271186440678,0.5679751167583716,0.5662648381626484,0.5665142212463229,0.5638501806385019
LightGBM,LOSO,14,14632,472,0.6461864406779662,0.6636178861788617,0.6389553178099434,0.6292083562655528,0.7051874494291108
LightGBM,LOSO,15,14632,472,0.5063559322033898,0.5593262946204123,0.5063559322033898,0.3645026147756494,0.5196243895432346
LightGBM,LOSO,16,14632,472,0.6292372881355932,0.6047635160538387,0.6082745623749296,0.605838928416341,0.6845408093878106
LightGBM,LOSO,17,14632,472,0.5338983050847458,0.5365891472868216,0.5338983050847458,0.5251682762657301,0.5693945705257111
LightGBM,LOSO,18,14632,472,0.538135593220339,0.5446255987898143,0.538135593220339,0.5207095079279314,0.5533970123527722
LightGBM,LOSO,19,14632,472,0.6271186440677966,0.6372093023255814,0.6271186440677966,0.6201346210125842,0.6616992243608159
LightGBM,LOSO,20,14632,472,0.5847457627118644,0.6051693404634582,0.5847457627118644,0.5635567632850241,0.5667552427463374
LightGBM,LOSO,21,14632,472,0.6483050847457628,0.6561992859461214,0.6387387387387388,0.6337801708826444,0.7183603603603604
LightGBM,LOSO,22,14632,472,0.6271186440677966,0.6383233532934132,0.6265014812819822,0.6187329037469479,0.7224705987970196
LightGBM,LOSO,23,14632,472,0.6970338983050848,0.6957969790787129,0.6889987683836847,0.6900198858287063,0.7367239006013186
LightGBM,LOSO,24,14632,472,0.6864406779661016,0.7191003953593882,0.6821684539526863,0.6710801393728223,0.7472292576027016
LightGBM,LOSO,25,14632,472,0.5296610169491526,0.5304504903045049,0.5296610169491526,0.5265925725128762,0.5173441539787418
LightGBM,LOSO,26,14632,472,0.6483050847457628,0.5975570556091289,0.6228247673006879,0.595882073817334,0.6661984907277358
LightGBM,LOSO,27,14632,472,0.4936440677966102,0.49301154871187447,0.49364406779661013,0.4819213476437819,0.5221739442688882
LightGBM,LOSO,28,14632,472,0.6716101694915254,0.6738163821601871,0.6623744852994293,0.6616456158688021,0.7384779310843025
LightGBM,LOSO,29,14632,472,0.7436440677966102,0.6739696753841458,0.7120039682539683,0.6840433947963864,0.7593005952380952
LightGBM,LOSO,30,14632,472,0.6758474576271186,0.6631759623543932,0.6571303879510464,0.6589708111579673,0.7562538302969525
LightGBM,LOSO,31,14632,472,0.673728813559322,0.6737787356321838,0.673728813559322,0.6737053795877326,0.7511131858661303
LogisticRegression,SD_5fold,0,12083,3021,0.6636875206885138,0.6562724620103095,0.6409859120821363,0.6417855682346548,0.7002157988818999
LogisticRegression,SD_5fold,1,12083,3021,0.6683217477656405,0.6622920908852644,0.644401382332655,0.645084625096378,0.706878118477712
LogisticRegression,SD_5fold,2,12083,3021,0.663356504468719,0.6550279914219993,0.6428407420396134,0.6440251076808996,0.7048690183303481
LogisticRegression,SD_5fold,3,12083,3021,0.6514399205561072,0.6423775407454932,0.6289505754362178,0.6293185448222558,0.6952290894351811
LogisticRegression,SD_5fold,4,12084,3020,0.6652317880794701,0.6598866607468797,0.6396150268490436,0.6396264329659629,0.6973190443562265
RandomForest,SD_5fold,0,12083,3021,0.7987421383647799,0.8076523515005113,0.7800934500644436,0.7862980802792321,0.8797993052459938
RandomForest,SD_5fold,1,12083,3021,0.7874875868917577,0.7995460311405381,0.766231107507487,0.7725165544271657,0.8822017046855983
