variant,fold,n_features,accuracy,precision_macro,recall_macro,f1_macro,auc_roc
combined,20,143,0.5805084745762712,0.6008547008547009,0.5805084745762712,0.5582279199047024,0.563002729100833
combined,21,143,0.663135593220339,0.6804332454843479,0.6517297297297298,0.6441586890655895,0.7642612612612611
combined,22,143,0.6377118644067796,0.6667542016806722,0.6368165903582009,0.6203271192898774,0.6932938324804739
combined,23,143,0.7139830508474576,0.7198598361464811,0.7017133956386292,0.7024307095990847,0.7829547924364268
combined,24,143,0.7309322033898306,0.7807932263814616,0.7263656122577284,0.7157745503857224,0.7592103608701118
combined,25,143,0.5677966101694916,0.5735488897545773,0.5677966101694916,0.5591773948394895,0.5530828066647515
combined,26,143,0.625,0.5873516183735162,0.6128145309115147,0.5796718639155962,0.659592448877568
combined,27,143,0.559322033898305,0.575786769428388,0.5593220338983051,0.5340130242448407,0.5709655989658144
combined,28,143,0.7203389830508474,0.7525846702317291,0.704724409448819,0.7003174603174603,0.77134652893159
combined,29,143,0.7139830508474576,0.6307628541671095,0.6525793650793651,0.637326047980876,0.7683531746031746
combined,30,143,0.7203389830508474,0.7154793587918549,0.6939662376734079,0.6981395348837209,0.7849090942856611
combined,31,143,0.652542372881356,0.6663533834586466,0.652542372881356,0.6451778511184452,0.7555928612467683
